lyh	sci	fi	sv	en
BUCGIT	Bucanetes githagineus	aavikkotulkku	ökentrumpetare	Trumpeter Finch
CARERY	Carpodacus erythrinus	punavarpunen	rosenfink	Common Rosefinch
PINENU	Pinicola enucleator	taviokuurna	tallbit	Pine Grosbeak
PYRPYR	Pyrrhula pyrrhula	punatulkku	domherre	Eurasian Bullfinch
COCCOC	Coccothraustes coccothraustes	nokkavarpunen	stenknäck	Hawfinch
DENSTR	Dendroica striata	viirukerttuli	vitkindad skogssångare	Blackpoll Warbler
PASILI	Passerella iliaca	kettusirkku	rävsparv	Fox Sparrow
ZONALB	Zonotrichia albicollis	valkokurkkusirkku	vitstrupig sparv	White-throated Sparrow
CALLAP	Calcarius lapponicus	lapinsirkku	lappsparv	Lapland Longspur
PLENIV	Plectrophenax nivalis	pulmunen	snösparv	Snow Bunting
EMBSPO	Emberiza spodocephala	harmaapääsirkku	gråhuvad sparv	Black-faced Bunting
EMBLEU	Emberiza leucocephalos	mäntysirkku	tallsparv	Pine Bunting
EMBCIT	Emberiza citrinella	keltasirkku	gulsparv	Yellowhammer
EMBHOR	Emberiza hortulana	peltosirkku	ortolansparv	Ortolan Bunting
EMBBUC	Emberiza buchanani	kivikkosirkku	bergortolan	Grey-necked Bunting
EMBCAE	Emberiza caesia	ruostekurkkusirkku	rostsparv	Cretzschmar's Bunting
EMBRUS	Emberiza rustica	pohjansirkku	videsparv	Rustic Bunting
EMBPUS	Emberiza pusilla	pikkusirkku	dvärgsparv	Little Bunting
EMBRUT	Emberiza rutila	kastanjasirkku	rödbrun sparv	Chestnut Bunting
EMBAUR	Emberiza aureola	kultasirkku	gyllensparv	Yellow-breasted Bunting
EMBSCH	Emberiza schoeniclus	pajusirkku	sävsparv	Common Reed Bunting
EMBPAL	Emberiza pallasi	pikkupajusirkku	dvärgsävsparv	Pallas's Reed Bunting
EMBBRU	Emberiza bruniceps	ruskopääsirkku	stäppsparv	Red-headed Bunting
EMBMEL	Emberiza melanocephala	mustapääsirkku	svarthuvad sparv	Black-headed Bunting
EMBCAL	Emberiza calandra	harmaasirkku	kornsparv	Corn Bunting
